duration_sec,start_station_name,end_station_name,bike_id,user_type,member_gender,bike_share_for_all_trip,duration_min,start_date,start_hour,start_weekday,start_month,member_age,dist
851,El Embarcadero at Grand Ave,Bay Pl at Vernon St,1107,Subscriber,Male,No,14.183333333333334,2019-02-28,22,Thursday,February,32,1.0484167849869586
518,23rd St at San Bruno Ave,Newhall St at 3rd St,4648,Subscriber,Male,No,8.633333333333333,2019-02-28,22,Thursday,February,31,2.189204675246654
485,Howard St at Mary St,Market St at Franklin St,2052,Subscriber,Male,No,8.083333333333334,2019-02-28,22,Thursday,February,26,1.5865607802453352
892,Golden Gate Ave at Hyde St,4th St at Mission Bay Blvd S,5200,Subscriber,Male,Yes,14.866666666666667,2019-02-28,22,Thursday,February,43,2.467787825961908
521,MLK Jr Way at University Ave,Haste St at College Ave,5653,Subscriber,Male,No,8.683333333333334,2019-02-28,22,Thursday,February,22,1.7911280551446154
631,Hyde St at Post St,Cyril Magnin St at Ellis St,2694,Subscriber,Male,No,10.516666666666667,2019-02-28,22,Thursday,February,47,0.6991585608968133
760,S Van Ness Ave at Market St,Berry St at 4th St,5565,Subscriber,Male,Yes,12.666666666666666,2019-02-28,22,Thursday,February,38,2.2692676825125595
918,Jackson Playground,Beale St at Harrison St,5517,Subscriber,Male,No,15.3,2019-02-28,22,Thursday,February,31,2.632187658161655
200,Bancroft Way at Telegraph Ave,Fulton St at Bancroft Way,5079,Subscriber,Male,No,3.3333333333333335,2019-02-28,22,Thursday,February,19,0.6363393835319466
71,San Fernando St at 7th St,San Fernando St at 4th St,2291,Subscriber,Male,Yes,1.1833333333333333,2019-02-28,22,Thursday,February,24,0.25625719644666334
790,Grove St at Divisadero,24th St at Chattanooga St,5968,Subscriber,Male,No,13.166666666666666,2019-02-28,22,Thursday,February,38,2.8566028482697843
665,Golden Gate Ave at Hyde St,Broadway at Kearny,5934,Subscriber,Male,Yes,11.083333333333334,2019-02-28,22,Thursday,February,47,2.000402599586579
1187,West St at University Ave,Haste St at Telegraph Ave,5649,Subscriber,Other,No,19.783333333333335,2019-02-28,22,Thursday,February,26,2.4728260273408673
1027,Myrtle St at Polk St,Garfield Square (25th St at Harrison St),5469,Subscriber,Male,No,17.116666666666667,2019-02-28,22,Thursday,February,39,3.8866728037089415
318,Mission Playground,29th St at Tiffany Ave,6499,Subscriber,Male,No,5.3,2019-02-28,22,Thursday,February,48,1.683932090258296
705,West St at University Ave,Bancroft Way at College Ave,4786,Subscriber,Male,No,11.75,2019-02-28,22,Thursday,February,35,2.826889638006118
544,Valencia St at Clinton Park,Father Alfred E Boeddeker Park,6065,Subscriber,Other,No,9.066666666666666,2019-02-28,22,Thursday,February,28,1.8605785975763558
572,Haste St at Telegraph Ave,Shattuck Ave at Hearst Ave,1947,Subscriber,Male,No,9.533333333333333,2019-02-28,22,Thursday,February,34,1.2011642740303137
413,Woolsey St at Sacramento St,Ashby BART Station,5119,Subscriber,Male,No,6.883333333333334,2019-02-28,22,Thursday,February,32,0.7302717859018023
548,Townsend St at 7th St,Valencia St at 21st St,5907,Customer,Male,No,9.133333333333333,2019-02-28,22,Thursday,February,32,2.2662721630421925
264,Harrison St at 17th St,11th St at Bryant St,1848,Subscriber,Male,No,4.4,2019-02-28,22,Thursday,February,28,0.6965996539881085
315,West Oakland BART Station,14th St at Mandela Pkwy,4560,Subscriber,Female,No,5.25,2019-02-28,22,Thursday,February,37,0.6739519334465967
344,Cyril Magnin St at Ellis St,San Francisco Caltrain Station 2  (Townsend St at 4th St),6246,Subscriber,Male,No,5.733333333333333,2019-02-28,22,Thursday,February,39,1.5621968216678803
325,Fulton St at Bancroft Way,Telegraph Ave at Carleton St,5167,Subscriber,Female,No,5.416666666666667,2019-02-28,22,Thursday,February,23,0.8705243341405078
